男女身高标准腰围对照表,,
"         性别
身高",女 腰围(cm),男 腰围(cm)
150,58.0 ~ 64.1,60.8 ~ 67.2
151,58.4 ~ 61.5,64.5 ~ 67.7
152,58.9 ~ 62.0,65.0 ~ 68.3
153,59.4 ~ 62.5,65.5 ~ 68.8
154,59.9 ~ 63.0,66.0 ~ 69.3
155,60.3 ~ 63.5 ,66.5 ~ 69.8
156,60.8 ~ 64.0,67.0 ~ 70.4
157,61.3 ~ 64.5,67.5 ~ 70.9
158,61.8 ~ 65.0,68.0 ~ 71.4
159,62.2 ~ 65.5,68.5 ~ 71.9
160,62.7 ~ 66.0,69.0 ~ 72.5
161,63.2 ~ 67.0,69.5 ~ 73.0
162,63.7 ~ 67.0,70.0 ~ 73.5
163,64.1 ~ 67.5,70.5 ~ 74.0
164,64.6 ~ 68.0,71.0 ~ 74.6
165,65.1 ~ 68.5,71.5 ~ 75.1
166,65.6 ~ 69.0,72.0 ~ 75.6
167,66.0 ~ 69.5,72.5 ~ 76.1
168,66.5 ~ 70.0,73.0 ~ 76.7
169,67.0 ~ 70.5,73.5 ~ 77.2
170,67.5 ~ 71.0,74.0 ~ 77.7
171,67.9 ~ 71.5,74.5 ~ 78.2
172,68.4 ~ 72.0,75.0 ~ 78.8
173,68.9 ~ 72.5,75.5 ~ 79.3
174,69.4 ~ 73.0,76.0 ~ 79.8
175,69.8 ~ 73.5,76.5 ~ 80.3
176,70.3 ~ 74.0,77.0 ~ 80.9
177,70.8 ~ 74.5,77.5 ~ 81.4
178,71.3 ~ 75.0,78.0 ~ 81.9
179,71.7 ~ 75.5,78.5 ~ 82.4
180,72.2 ~ 76.0,79.0 ~ 83.0
181,72.7 ~ 76.5,79.5 ~ 83.5
182,73.2 ~ 77.0,80.0 ~ 84.0
183,73.6 ~ 77.5,80.5 ~ 84.5
184,74.1 ~ 78.0,81.0 ~ 85.1
185,74.6 ~ 78.5,81.5 ~ 85.6
